permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
10006,1000500,1957-03-01,1984-07-18,NORM,1100500
10030,1000500,1957-03-01,1969-01-08,NORM,1100500
10049,1000500,1925-12-31,1932-10-01,NORM,1100500
10057,1000500,1957-03-01,1992-07-02,NORM,1100500
10078,1000500,1992-08-20,2010-01-28,NORM,1100500
10102,1000500,1957-03-01,1975-02-05,NORM,1100500
10104,1000500,1989-08-03,2025-10-31,NORM,1100500
10107,1000500,1994-06-07,2025-10-31,NORM,1100500
10108,1000500,2002-07-22,2005-08-11,NORM,1100500
10137,1000500,1925-12-31,1976-06-30,NORM,1100500
10137,1000500,2000-12-11,2011-02-25,NORM,1100500
10138,1000500,1999-10-13,2025-10-31,NORM,1100500
10145,1000500,1925-12-31,2025-10-31,NORM,1100500
10147,1000500,1996-03-28,2016-09-07,NORM,1100500
10153,1000500,1925-12-31,1944-06-07,NORM,1100500
10153,1000500,1957-03-01,1963-03-13,NORM,1100500
10153,1000500,1977-06-30,1987-07-08,NORM,1100500
10161,1000500,1957-03-01,1993-11-12,NORM,1100500
10196,1000500,1944-06-07,1947-02-26,NORM,1100500
10209,1000500,1957-03-01,1963-10-16,NORM,1100500
10225,1000500,1925-12-31,2014-04-30,NORM,1100500
10233,1000500,1925-12-31,1933-03-28,NORM,1100500
10233,1000500,1957-03-01,1957-07-10,NORM,1100500
10233,1000500,1957-08-21,1959-03-25,NORM,1100500
10233,1000500,1969-05-15,1986-01-08,NORM,1100500
10241,1000500,1925-12-31,1988-12-21,NORM,1100500
10276,1000500,1957-03-01,1973-02-28,NORM,1100500
10292,1000500,1957-03-01,1962-09-26,NORM,1100500
10299,1000500,2000-04-03,2017-03-10,NORM,1100500
10321,1000500,1957-03-01,1987-08-05,NORM,1100500
10324,1000500,2001-12-14,2011-04-01,NORM,1100500
10353,1000500,1999-10-01,2001-05-11,NORM,1100500
10364,1000500,1925-12-31,1999-10-26,NORM,1100500
10372,1000500,1925-12-31,1941-08-20,NORM,1100500
10372,1000500,1947-02-26,1988-04-27,NORM,1100500
10401,1000500,1957-03-01,2005-11-18,NORM,1100500
10436,1000500,1957-03-01,1971-06-23,NORM,1100500
10452,1000500,1925-12-31,1944-06-07,NORM,1100500
10479,1000500,1925-12-31,1941-08-20,NORM,1100500
10479,1000500,1957-03-01,1973-02-28,NORM,1100500
10479,1000500,1978-03-02,1984-02-15,NORM,1100500
10487,1000500,1957-03-01,1986-05-07,NORM,1100500
10495,1000500,1925-12-31,1950-06-30,NORM,1100500
10495,1000500,1957-03-01,1977-01-19,NORM,1100500
10516,1000500,1957-03-01,1970-04-22,NORM,1100500
10516,1000500,1981-07-30,2025-10-31,NORM,1100500
10524,1000500,1925-12-31,1971-01-13,NORM,1100500
10559,1000500,1957-03-01,1986-10-08,NORM,1100500
10562,1000500,2004-07-01,2009-01-29,NORM,1100500
10575,1000500,1925-12-31,1968-08-20,NORM,1100500
10591,1000500,1925-12-31,1967-06-28,NORM,1100500
10604,1000500,1957-03-01,2000-04-17,NORM,1100500
10623,1000500,1987-04-23,1988-04-13,NORM,1100500
10693,1000500,1997-01-07,2003-03-20,NORM,1100500
10696,1000500,2001-04-02,2025-10-31,NORM,1100500
10725,1000500,2000-06-19,2004-08-31,NORM,1100500
10727,1000500,1957-03-01,1970-06-24,NORM,1100500
10735,1000500,1957-03-01,1968-01-17,NORM,1100500
10751,1000500,1957-03-01,1983-02-02,NORM,1100500
10778,1000500,1957-03-01,1958-09-24,NORM,1100500
10786,1000500,1925-12-31,2000-12-08,NORM,1100500
10791,1000500,1994-01-18,2000-06-20,NORM,1100500
10807,1000500,1925-12-31,1954-04-20,NORM,1100500
10807,1000500,1957-03-01,1965-10-20,NORM,1100500
10823,1000500,1928-08-24,1951-09-06,NORM,1100500
