Dataset,n_regimes,horizon,MSE,RMSE,NRMSE,max_spectral_radius,min_spectral_radius,n_stable_regimes,min_regime_size,max_regime_size
OU,1,1.0,0.002755618490918885,0.052493985283257785,0.2333152027519745,0.9988549757079213,0.9988549757079213,1,3499,3499
OU,1,5.0,0.004261964604019305,0.06528372388290442,0.29016058110188286,0.9988549757079213,0.9988549757079213,1,3499,3499
OU,1,10.0,0.005783342294401202,0.07604828922731399,0.33800485759023735,0.9988549757079213,0.9988549757079213,1,3499,3499
OU,2,1.0,0.0031447877891791222,0.0560784075128665,0.2492465555486266,0.9984796098858717,0.9978145077669351,2,584,2915
OU,2,5.0,0.006900728253268291,0.08307062208307033,0.36921637649457917,0.9984796098858717,0.9978145077669351,2,584,2915
OU,2,10.0,0.010754087903763102,0.10370191851534426,0.4609144078815638,0.9984796098858717,0.9978145077669351,2,584,2915
OU,3,1.0,0.002516782888889665,0.05016754816502063,0.222975101024085,1.6907807202857168,0.997872312380067,1,489,2493
OU,3,5.0,0.014394342744630828,0.11997642578703047,0.5332482179989103,1.6907807202857168,0.997872312380067,1,489,2493
OU,3,10.0,0.07758770753126859,0.278545700974308,1.2380265348083381,1.6907807202857168,0.997872312380067,1,489,2493
OU,4,1.0,0.002792081740404485,0.052840152728814906,0.23485378145409588,2.0294540457871437,0.9975673634713139,2,323,2095
OU,4,5.0,0.1532196800792438,0.39143285513513526,1.7397657172881078,2.0294540457871437,0.9975673634713139,2,323,2095
OU,4,10.0,126.03113371838086,11.22635888070486,49.89676787320368,2.0294540457871437,0.9975673634713139,2,323,2095
Double Well,1,1.0,0.006920370177052666,0.08318876232432279,0.16768143867516988,0.9932572750868325,0.9932572750868325,1,3499,3499
Double Well,1,5.0,0.02334079801744008,0.15277695512556885,0.30794856079229205,0.9932572750868325,0.9932572750868325,1,3499,3499
Double Well,1,10.0,0.03221730121174955,0.17949178591721002,0.36179695492564695,0.9932572750868325,0.9932572750868325,1,3499,3499
Double Well,2,1.0,0.006860907111196562,0.08283059284585957,0.16695948571229127,2.085349256351603,0.9967221704060383,1,1169,2330
Double Well,2,5.0,0.07128551725843815,0.26699347793239847,0.5381718545354768,2.085349256351603,0.9967221704060383,1,1169,2330
Double Well,2,10.0,122.03194380816156,11.046806950796306,22.2667633286185,2.085349256351603,0.9967221704060383,1,1169,2330
Double Well,3,1.0,0.006878038152985208,0.08293393848711882,0.1671677968509953,2.102256987182242,0.995301815978,1,150,2237
Double Well,3,5.0,0.07360502713626774,0.27130246430187055,0.5468573670190964,2.102256987182242,0.995301815978,1,150,2237
Double Well,3,10.0,140.08065410085482,11.835567333290568,23.85664725057156,2.102256987182242,0.995301815978,1,150,2237
Double Well,4,1.0,0.0065929618685210455,0.08119705578727006,0.1636668072727972,2.3908443249521723,0.9956066094809088,1,147,2242
Double Well,4,5.0,0.33040898468752067,0.5748121299063901,1.1586339574914064,2.3908443249521723,0.9956066094809088,1,147,2242
Double Well,4,10.0,2958.4562584756577,54.39169291790483,109.63592996966223,2.3908443249521723,0.9956066094809088,1,147,2242
Cir,1,1.0,3.3587279070849126e-08,0.0001832683253343281,0.007834983560157851,0.9988237920670517,0.9988237920670517,1,3499,3499
Cir,1,5.0,1.590939274983573e-07,0.0003988658013647664,0.0170520846452934,0.9988237920670517,0.9988237920670517,1,3499,3499
Cir,1,10.0,4.201975412798149e-07,0.000648226458330586,0.02771261010332465,0.9988237920670517,0.9988237920670517,1,3499,3499
Cir,2,1.0,3.49047563558964e-08,0.00018682814658368906,0.007987171020347511,0.9972865719552728,0.9970250487089809,2,1048,2451
Cir,2,5.0,1.844197911930812e-07,0.00042944125464733964,0.018359229092520277,0.9972865719552728,0.9970250487089809,2,1048,2451
Cir,2,10.0,4.932558264366531e-07,0.0007023217399715412,0.030025260920457444,0.9972865719552728,0.9970250487089809,2,1048,2451
Cir,3,1.0,3.855452144419367e-08,0.00019635305305544314,0.008394374422692651,0.9928963419616992,0.9912099182723949,3,535,1946
Cir,3,5.0,2.4156715730975727e-07,0.0004914948192094778,0.021012107909995227,0.9928963419616992,0.9912099182723949,3,535,1946
Cir,3,10.0,7.314956533254138e-07,0.0008552751915760294,0.03656424018271894,0.9928963419616992,0.9912099182723949,3,535,1946
Cir,4,1.0,8.113170912433299e-08,0.00028483628477483865,0.012177159388978615,0.9887122066623207,0.9720575976077583,4,485,1456
Cir,4,5.0,7.779087054073797e-07,0.0008819913295534031,0.03770639336964733,0.9887122066623207,0.9720575976077583,4,485,1456
Cir,4,10.0,2.5891758680427644e-06,0.0016090916282308985,0.06879097318632646,0.9887122066623207,0.9720575976077583,4,485,1456
SP500,1,1.0,0.00016552806553271594,0.012865771081933486,0.8511721072417225,0.3347336214410497,0.3347336214410497,1,4224,4224
SP500,1,5.0,0.00015024567422163352,0.012257474218681168,0.8109284778761987,0.3347336214410497,0.3347336214410497,1,4224,4224
SP500,1,10.0,0.00027515462170162616,0.01658778531635933,1.0974126690335175,0.3347336214410497,0.3347336214410497,1,4224,4224
SP500,2,1.0,0.00016712944548242202,0.01292785540924797,0.8552794745631542,0.3671883501680516,0.04155331807668635,2,589,3635
SP500,2,5.0,0.00015123228451112593,0.012297653618114551,0.8135866616621238,0.3671883501680516,0.04155331807668635,2,589,3635
SP500,2,10.0,0.00027594734168096897,0.016611662821071495,1.098992354065382,0.3671883501680516,0.04155331807668635,2,589,3635
SP500,3,1.0,0.00016606650290793524,0.012886679281643321,0.8525553493569691,0.4007981989475651,0.022213359105724688,3,390,3297
SP500,3,5.0,0.0001528207567227936,0.012362069273499223,0.8178482647004461,0.4007981989475651,0.022213359105724688,3,390,3297
SP500,3,10.0,0.00027789057607354264,0.016670050272076044,1.1028551438967513,0.4007981989475651,0.022213359105724688,3,390,3297
SP500,4,1.0,0.0001671494445476432,0.012928628873459212,0.8553306453136957,0.40182170086706076,0.00939902490595057,4,132,2841
SP500,4,5.0,0.00015186770276171658,0.012323461476456871,0.815294054792993,0.40182170086706076,0.00939902490595057,4,132,2841
SP500,4,10.0,0.0002769328001822871,0.016641298031772854,1.100952956704788,0.40182170086706076,0.00939902490595057,4,132,2841
ABIDE,1,1.0,0.525591743579179,0.7249770641745703,0.7198311592215046,0.7143782195549649,0.7143782195549649,1,122,122
ABIDE,1,5.0,0.5962609005574742,0.7721793189133429,0.7666983712003622,0.7143782195549649,0.7143782195549649,1,122,122
ABIDE,1,10.0,0.561497635590642,0.749331459095801,0.7440126860512506,0.7143782195549649,0.7143782195549649,1,122,122
ABIDE,2,1.0,0.6115999172681945,0.7820485389463971,0.7764975392679674,0.9603872877440651,0.685170784712618,2,54,68
ABIDE,2,5.0,1.576150993846498,1.2554485229775445,1.2465373186209423,0.9603872877440651,0.685170784712618,2,54,68
ABIDE,2,10.0,0.9729206436194646,0.9863673978895818,0.9793661379474876,0.9603872877440651,0.685170784712618,2,54,68
ABIDE,3,1.0,0.7433857718452515,0.8621982207388574,0.8560783166565454,3.583782334231766,1.4972168768768668,0,12,57
ABIDE,3,5.0,71.91247838199665,8.480122545222837,8.4199304277553,3.583782334231766,1.4972168768768668,0,12,57
ABIDE,3,10.0,172769.30225472164,415.6552685275644,412.7049372539549,3.583782334231766,1.4972168768768668,0,12,57
ABIDE,4,1.0,0.7281419235028666,0.8533123247105169,0.8472554929357913,9.145703915461691,2.052854941060019,0,6,58
ABIDE,4,5.0,2778.08529229344,52.70754492758546,52.333425483109515,9.145703915461691,2.052854941060019,0,6,58
ABIDE,4,10.0,20739296.224593695,4554.041746031067,4521.717046208942,9.145703915461691,2.052854941060019,0,6,58
