dataset,R,horizon,mse,rmse,nrmse,rho_max,transition_entropy,min_regime_size,type
OU,1,1,0.0007304943489032987,0.027027658960836743,0.12012736271798063,0.9988549757078907,-1.000000082690371e-10,3499.0,HMM
OU,1,5,0.002640362457859355,0.051384457356863804,0.22838379587069824,0.9988549757078907,-1.000000082690371e-10,3499.0,HMM
OU,1,10,0.0048350489139418204,0.06953451598984364,0.30905370072320065,0.9988549757078907,-1.000000082690371e-10,3499.0,HMM
OU,2,1,0.04143072312753024,0.20354538345914466,0.9046795411987891,0.9983312688969928,0.004192617729826905,934.9748697774254,HMM
OU,2,5,0.040732104424293446,0.20182196219513238,0.8970196084018764,0.9983312688969928,0.004192617729826905,934.9748697774254,HMM
OU,2,10,0.04094659193025571,0.20235264250870486,0.8993782746336868,0.9983312688969928,0.004192617729826905,934.9748697774254,HMM
OU,3,1,0.04166703322753682,0.2041250431170483,0.9072559014406757,0.9986862922350181,0.01846795306945162,929.7035828508796,HMM
OU,3,5,0.04083471381723624,0.20207600999929765,0.8981487514313519,0.9986862922350181,0.01846795306945162,929.7035828508796,HMM
OU,3,10,0.040993866024862304,0.20246941997462803,0.8998973047511886,0.9986862922350181,0.01846795306945162,929.7035828508796,HMM
OU,4,1,0.05008601936060595,0.223799060231731,0.994699205112659,1.0040139691686345,0.036647648799889944,444.82511411235777,HMM
OU,4,5,0.04758030047151887,0.2181290913003556,0.9694984130127602,1.0040139691686345,0.036647648799889944,444.82511411235777,HMM
OU,4,10,0.046364140460239255,0.2153233393300393,0.9570279439601775,1.0040139691686345,0.036647648799889944,444.82511411235777,HMM
Double-well,1,1,8.265192993228889e-10,2.87492486740591e-05,0.037070529326890006,0.6223622624303093,-1.000000082690371e-10,3499.0,HMM
Double-well,1,5,1.1958369118806145e-09,3.458087494382718e-05,0.044590081406592305,0.6223622624303093,-1.000000082690371e-10,3499.0,HMM
Double-well,1,10,1.5966082435179137e-09,3.995758055135363e-05,0.051523039035001925,0.6223622624303093,-1.000000082690371e-10,3499.0,HMM
Double-well,2,1,1.2675767797391694e-08,0.00011258671234826823,0.1451741946108858,0.6347500699742692,-1.000000082690371e-10,1.0,HMM
Double-well,2,5,1.3671155869646181e-08,0.00011692371816550388,0.1507665181933729,0.6347500699742692,-1.000000082690371e-10,1.0,HMM
Double-well,2,10,1.268562769522641e-08,0.00011263049185378891,0.14523064580589687,0.6347500699742692,-1.000000082690371e-10,1.0,HMM
Double-well,3,1,1.2675767797391694e-08,0.00011258671234826823,0.1451741946108858,0.6335166608750482,0.008683204494312311,1.0,HMM
Double-well,3,5,1.3671155869646181e-08,0.00011692371816550388,0.1507665181933729,0.6335166608750482,0.008683204494312311,1.0,HMM
Double-well,3,10,1.268562769522641e-08,0.00011263049185378891,0.14523064580589687,0.6335166608750482,0.008683204494312311,1.0,HMM
Double-well,4,1,1.2675767797391694e-08,0.00011258671234826823,0.1451741946108858,0.6850236311720371,0.00648928733717813,1.0,HMM
Double-well,4,5,1.3671155869646181e-08,0.00011692371816550388,0.1507665181933729,0.6850236311720371,0.00648928733717813,1.0,HMM
Double-well,4,10,1.268562769522641e-08,0.00011263049185378891,0.14523064580589687,0.6850236311720371,0.00648928733717813,1.0,HMM
CIR,1,1,3.842493591820162e-08,0.00019602279438422874,0.008380258973866826,0.9988237920670526,-1.000000082690371e-10,3499.0,HMM
CIR,1,5,1.1475843116817816e-07,0.000338760138103907,0.014482487591565724,0.9988237920670526,-1.000000082690371e-10,3499.0,HMM
CIR,1,10,1.3359506777094004e-07,0.00036550659059850075,0.015625937256391824,0.9988237920670526,-1.000000082690371e-10,3499.0,HMM
CIR,2,1,1.2503661955064763e-07,0.0003536051746661064,0.015117134451174831,0.9980678683562438,0.019576166001664452,1579.470312876551,HMM
CIR,2,5,3.2186811339522636e-07,0.0005673342166617719,0.024254361209861634,0.9980678683562438,0.019576166001664452,1579.470312876551,HMM
CIR,2,10,3.121634538683469e-07,0.0005587158972754819,0.023885915547185076,0.9980678683562438,0.019576166001664452,1579.470312876551,HMM
CIR,3,1,2.533544026044419e-07,0.0005033432254480455,0.021518653456842222,0.9977512959646737,0.02078940544595552,279.1534730388114,HMM
CIR,3,5,3.8301423071389735e-07,0.0006188814351019889,0.026458079615511793,0.9977512959646737,0.02078940544595552,279.1534730388114,HMM
CIR,3,10,3.265692113438886e-07,0.000571462344642137,0.024430844672723176,0.9977512959646737,0.02078940544595552,279.1534730388114,HMM
CIR,4,1,3.714474583175225e-07,0.0006094648950657638,0.026055508861486765,0.9959903035920673,0.025466276390045662,334.8199194711424,HMM
CIR,4,5,1.4751227718855325e-06,0.0012145463234827778,0.05192361816143159,0.9959903035920673,0.025466276390045662,334.8199194711424,HMM
CIR,4,10,3.982304395901999e-06,0.001995571195397949,0.08531356504103235,0.9959903035920673,0.025466276390045662,334.8199194711424,HMM
SP500,1,1,0.00023468646518123761,0.015319479925285897,1.013504946845726,0.33473362144104957,-1.000000082690371e-10,4224.0,HMM
SP500,1,5,0.0001865607677356633,0.013658724967421494,0.9036328510890075,0.33473362144104957,-1.000000082690371e-10,4224.0,HMM
SP500,1,10,0.00017958261816180626,0.01340084393468584,0.886571978027392,0.33473362144104957,-1.000000082690371e-10,4224.0,HMM
SP500,2,1,0.00023721258761151814,0.015401707295346128,1.0189449387206853,0.1456219350766601,0.6925510622262444,2075.2664055708074,HMM
SP500,2,5,0.00016592918429920165,0.012881350251398402,0.8522033558264592,0.1456219350766601,0.6925510622262444,2075.2664055708074,HMM
SP500,2,10,0.0001538447469188755,0.012403416743739425,0.8205842684528607,0.1456219350766601,0.6925510622262444,2075.2664055708074,HMM
SP500,3,1,0.00023702525112877397,0.015395624415033447,1.0185425080038437,0.1987773604359294,0.6120614879025102,28.569459405253117,HMM
SP500,3,5,0.00016628602682472462,0.012895193942889134,0.8531192256782356,0.1987773604359294,0.6120614879025102,28.569459405253117,HMM
SP500,3,10,0.00015422096226206335,0.012418573278040572,0.8215869932559328,0.1987773604359294,0.6120614879025102,28.569459405253117,HMM
SP500,4,1,0.00098465227353176,0.031379169420680336,2.0759806201564728,0.16597832017382327,1.003336741048987,381.9008114760313,HMM
SP500,4,5,0.0008547878178544714,0.02923675457116387,1.934242907207307,0.16597832017382327,1.003336741048987,381.9008114760313,HMM
